VOLKSWAGEN GOLF 7,63000 km,01-2019,13.06.2021,Compacte,Essence,6 CV,Automatique,Traction,Noir,71 499 DT
JAGUAR XE,34500 km,01-2018,13.06.2021,Berline,Diesel,9 CV,Automatique,Traction,Bleu,169 000 DT
MERCEDES-BENZ CLASSE E,46000 km,06-2018,13.06.2021,Coupé,Essence,11 CV,Automatique,Traction,Noir,242 000 DT
PORSCHE CAYENNE,47000 km,07-2017,13.06.2021,4 x 4,Essence,20 CV,Automatique,Intégrale,Noir,410 000 DT
MERCEDES-BENZ CLASSE S,160000 km,04-2010,13.06.2021,Berline,Essence,18 CV,Automatique,Propulsion,Noir,138 500 DT
MG ZS,103000 km,01-2019,13.06.2021,Pick up,Essence,7 CV,Manuelle,Traction,Gris anthracite,56 500 DT
MAZDA 3,38000 km,04-2019,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Bleu,78 000 DT
BMW SÉRIE 3,97000 km,05-2015,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Noir,79 000 DT
MINI COOPER,57500 km,09-2016,13.06.2021,Compacte,Essence,5 CV,Automatique,Traction,Rouge,81 500 DT
MERCEDES-BENZ CLASSE C,192000 km,06-2011,13.06.2021,Berline,Diesel,8 CV,Automatique,Propulsion,Noir,73 000 DT
PORSCHE CAYENNE,160000 km,09-2007,13.06.2021,Autres,Essence,21 CV,Automatique,Intégrale,Noir,73 000 DT
AUDI Q7,224000 km,07-2008,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Intégrale,Noir,53 000 DT
AUDI Q5,170000 km,08-2011,13.06.2021,4 x 4,Essence,13 CV,Automatique,Intégrale,Blanc,67 000 DT
VOLVO S80,13000 km,07-2008,13.06.2021,Berline,Essence,13 CV,Automatique,Traction,Noir,38 000 DT
VOLKSWAGEN GOLF 6,180000 km,12-2012,13.06.2021,Berline,Essence,6 CV,Manuelle,Traction,Gris argent,44 000 DT
AUDI A4,80000 km,02-2011,13.06.2021,Berline,Essence,8 CV,Manuelle,Traction,Gris anthracite,46 000 DT
KIA RIO,135000 km,08-2013,13.06.2021,Berline,Essence,6 CV,Automatique,Traction,Gris argent,34 500 DT
TOYOTA PRADO,450000 km,10-1997,13.06.2021,4 x 4,Diesel,11 CV,Manuelle,Intégrale,Vert,55 000 DT
MINI COOPER,150000 km,09-2010,13.06.2021,Autres,Essence,5 CV,Manuelle,Propulsion,Autre,30 000 DT
MERCEDES-BENZ CLASSE A,115000 km,10-2013,13.06.2021,Autres,Essence,7 CV,Automatique,Propulsion,Blanc,75 000 DT
PORSCHE CAYENNE,160000 km,01-2009,13.06.2021,4 x 4,Essence,21 CV,Automatique,Intégrale,Noir,85 000 DT
MERCEDES-BENZ CLASSE C,100010 km,11-2014,13.06.2021,Berline,Essence,8 CV,Manuelle,Propulsion,Gris anthracite,96 000 DT
TOYOTA LAND CRUISER,400000 km,11-2004,13.06.2021,Autres,Diesel,17 CV,Manuelle,Intégrale,Blanc,75 000 DT
BMW SÉRIE 3,79000 km,11-2015,13.06.2021,Berline,Diesel,7 CV,Automatique,Propulsion,Blanc,105 000 DT
JEEP CHEROKEE,40000 km,01-2018,13.06.2021,4 x 4,Essence,11 CV,Automatique,Intégrale,Bleu,150 000 DT
MERCEDES-BENZ CLASSE C,120000 km,09-2015,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Noir,112 000 DT
MERCEDES-BENZ GLA,24000 km,09-2019,13.06.2021,Autres,Essence,7 CV,Automatique,Traction,Noir,136 000 DT
FORD FIESTA,99400 km,09-2014,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,34 500 DT
MG GS,70000 km,01-2018,13.06.2021,4 x 4,Essence,9 CV,Automatique,Intégrale,Gris anthracite,69 000 DT
VOLKSWAGEN GOLF 6,200000 km,01-2010,13.06.2021,Autres,Essence,7 CV,Manuelle,Traction,Bleu,36 500 DT
VOLKSWAGEN POLO,200000 km,01-2017,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Blanc,35 000 DT
FIAT PANDA,8000 km,10-2020,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Noir,39 500 DT
LAND ROVER RANGE ROVER,51000 km,04-2010,13.06.2021,4 x 4,Essence,32 CV,Automatique,Intégrale,Noir,235 000 DT
FIAT 500,43000 km,05-2014,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Noir,32 500 DT
MERCEDES-BENZ CLASSE C,117000 km,10-2014,13.06.2021,Utilitaire,Essence,8 CV,Automatique,Traction,Blanc,128 500 DT
MERCEDES-BENZ CLASSE E,102000 km,02-2017,13.06.2021,Berline,Essence,10 CV,Automatique,Propulsion,Blanc,225 000 DT
LAND ROVER RANGE ROVER ,179000 km,08-2017,13.06.2021,4 x 4,Diesel,8 CV,Automatique,Propulsion,Bleu,153 000 DT
LAND ROVER RANGE ROVER ,66000 km,08-2015,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Blanc,149 000 DT
PORSCHE CAYENNE,179000 km,10-2014,13.06.2021,4 x 4,Essence,31 CV,Automatique,Propulsion,Noir,305 000 DT
MERCEDES-BENZ CLASSE E,102000 km,12-2018,13.06.2021,Berline,Essence,9 CV,Automatique,Propulsion,Noir,159 000 DT
PORSCHE MACAN,34000 km,08-2017,13.06.2021,4 x 4,Essence,16 CV,Automatique,Propulsion,Bleu,267 000 DT
MG HS,0 km,11-2020,13.06.2021,4 x 4,Essence,10 CV,Automatique,Propulsion,Bleu,99 950 DT
MERCEDES-BENZ GLA,93000 km,10-2017,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Noir,122 000 DT
BMW X6,148000 km,03-2015,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Propulsion,Noir,245 000 DT
SEAT ATECA,1000 km,11-2020,13.06.2021,4 x 4,Diesel,8 CV,Automatique,Traction,Blanc,139 000 DT
MERCEDES-BENZ GLC,47000 km,08-2016,13.06.2021,Berline,Essence,12 CV,Automatique,Traction,Noir,284 000 DT
VOLKSWAGEN GOLF 7,89000 km,07-2015,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Gris argent,63 500 DT
LAND ROVER RANGE ROVER ,95000 km,10-2017,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Propulsion,Gris anthracite,370 000 DT
MERCEDES-BENZ CLS,194000 km,07-2013,13.06.2021,Berline,Diesel,11 CV,Automatique,Propulsion,Blanc,123 900 DT
FIAT 500,21000 km,01-2019,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Bleu,51 500 DT
JEEP CHEROKEE,150000 km,05-2007,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Intégrale,Noir,69 500 DT
AUDI Q3,125000 km,06-2017,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Bleu,98 500 DT
MERCEDES-BENZ CLASSE A,145000 km,02-2013,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Rouge,58 500 DT
HYUNDAI H-1,84000 km,07-2017,13.06.2021,Pick up,Diesel,8 CV,Manuelle,Propulsion,Noir,69 000 DT
VOLKSWAGEN PASSAT CC,120000 km,08-2011,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Blanc,46 000 DT
